grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
1,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,1,1,11700,3,all,2026-02-24T18:26:11.143622Z,2026-02-24T23:57:34.183054Z,2,0.405
10,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,5,1,11700,30,all,2026-02-24T18:26:11.144457Z,2026-02-24T22:48:11.152195Z,16,0.38
100,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,all,11700,10,1,7200,59,all,2026-02-24T19:50:15.140779Z,2026-02-24T19:50:29.157889Z,28,0.102
101,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,1,1,7200,63,other,2026-02-24T19:50:26.186726Z,2026-02-24T19:50:41.537426Z,31,0.114
102,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,2,1,7200,66,other,2026-02-24T19:50:28.065519Z,2026-02-24T19:50:43.790970Z,36,0.106
103,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,3,1,7200,69,other,2026-02-24T19:50:29.162201Z,2026-02-24T19:50:43.686990Z,28,0.112
104,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,4,1,7200,72,other,2026-02-24T19:50:41.542724Z,2026-02-24T19:50:56.168350Z,31,0.092
105,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,5,1,7200,75,other,2026-02-24T19:50:43.691008Z,2026-02-24T19:50:59.419886Z,28,0.106
106,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,6,1,7200,78,other,2026-02-24T19:50:43.795210Z,2026-02-24T19:50:59.119322Z,36,0.104
107,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,7,1,7200,81,other,2026-02-24T19:50:56.172950Z,2026-02-24T19:51:11.268825Z,31,0.116
108,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,8,1,7200,84,other,2026-02-24T19:50:59.123895Z,2026-02-24T19:51:14.481972Z,36,0.114
109,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,9,1,7200,87,other,2026-02-24T19:50:59.424668Z,2026-02-24T19:51:14.538290Z,28,0.074
11,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,6,1,11700,33,all,2026-02-24T18:26:11.144043Z,2026-02-24T22:14:11.394787Z,22,0.3975
110,1,2,1,STL10,classif.featureless,same_other_sizes_cv,train,other,7200,10,1,7200,90,other,2026-02-24T19:51:01.333915Z,2026-02-24T19:51:17.164930Z,7,0.128
