grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
100,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,4,1,270,100,same,2026-03-03T13:39:00.105889Z,2026-03-03T13:39:08.070508Z,38,0.36
101,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,4,1,450,101,same,2026-03-03T13:39:00.105987Z,2026-03-03T13:39:07.614630Z,43,0.36
102,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,same,270,4,1,270,102,same,2026-03-03T13:39:00.106015Z,2026-03-03T13:39:08.023255Z,41,0.354838709677419
103,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,5,1,270,103,same,2026-03-03T13:39:00.106167Z,2026-03-03T13:39:07.620695Z,33,0.36
104,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,5,1,450,104,same,2026-03-03T13:39:00.106427Z,2026-03-03T13:39:08.064366Z,36,0.36
105,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,same,270,5,1,270,105,same,2026-03-03T13:39:00.106648Z,2026-03-03T13:39:07.615525Z,37,0.366666666666667
106,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,6,1,270,106,same,2026-03-03T13:39:00.106943Z,2026-03-03T13:39:08.064931Z,42,0.346938775510204
107,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,6,1,450,107,same,2026-03-03T13:39:00.107153Z,2026-03-03T13:39:08.063463Z,40,0.346938775510204
108,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,same,270,6,1,270,108,same,2026-03-03T13:39:00.107416Z,2026-03-03T13:39:08.089636Z,32,0.366666666666667
109,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,7,1,270,109,same,2026-03-03T13:39:00.107667Z,2026-03-03T13:39:08.034248Z,30,0.346938775510204
10,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,all,720,2,1,270,10,all,2026-03-03T13:28:23.528780Z,2026-03-03T13:30:41.134535Z,11,0.32258064516129
110,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,7,1,450,110,same,2026-03-03T13:39:00.107945Z,2026-03-03T13:39:08.079069Z,31,0.346938775510204
111,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,same,270,7,1,270,111,same,2026-03-03T13:39:00.108194Z,2026-03-03T13:39:08.118696Z,29,0.344827586206897
112,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,8,1,270,112,same,2026-03-03T13:39:00.108408Z,2026-03-03T13:39:07.572632Z,35,0.346938775510204
113,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,same,450,8,1,450,113,same,2026-03-03T13:39:00.108646Z,2026-03-03T13:39:07.623159Z,39,0.346938775510204
114,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,same,270,8,1,270,114,same,2026-03-03T13:39:00.108885Z,2026-03-03T13:39:07.634109Z,34,0.344827586206897
