grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
100,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,other,63000,10,1,63000,40,other,2026-03-03T12:50:45.568764Z,2026-03-03T14:16:36.209194Z,36,0.553131198639841
101,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,same,63000,1,1,63000,41,same,2026-03-03T12:50:45.580496Z,2026-03-03T14:14:09.445798Z,12,0.93965887917443
102,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,same,63000,1,1,63000,42,same,2026-03-03T12:50:45.816220Z,2026-03-03T14:26:06.976264Z,1,0.923591348890154
103,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,same,63000,2,1,63000,43,same,2026-03-03T15:21:53.581769Z,2026-03-03T17:10:28.564400Z,34,0.940983606557377
104,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,same,63000,2,1,63000,44,same,2026-03-03T12:50:45.911700Z,2026-03-03T14:27:43.856549Z,13,0.922735727571899
105,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,same,63000,3,1,63000,45,same,2026-03-03T15:21:53.581865Z,2026-03-03T17:31:24.437421Z,38,0.940131767401891
106,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,same,63000,3,1,63000,46,same,2026-03-03T15:21:53.581895Z,2026-03-03T17:10:49.969818Z,24,0.921959555682142
107,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,same,63000,4,1,63000,47,same,2026-03-03T12:50:46.076436Z,2026-03-03T14:19:46.488643Z,43,0.934327502150846
108,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,same,63000,4,1,63000,48,same,2026-03-03T12:50:46.076842Z,2026-03-03T14:20:46.609917Z,47,0.926568948342109
109,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,same,63000,5,1,63000,49,same,2026-03-03T12:50:46.136853Z,2026-03-03T14:23:57.221067Z,6,0.941225978398092
10,1,1,1,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,5,1,126000,10,all,2026-03-03T12:50:22.285473Z,2026-03-03T12:50:40.849138Z,9,0.113957211468491
110,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,same,63000,5,1,63000,50,same,2026-03-03T15:21:53.581973Z,2026-03-03T16:56:30.756387Z,30,0.925192839470237
111,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,same,63000,6,1,63000,51,same,2026-03-03T15:21:53.582866Z,2026-03-03T19:37:02.438602Z,37,0.937607326846022
112,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,MNIST,same,63000,6,1,63000,52,same,2026-03-03T15:21:53.582857Z,2026-03-03T20:10:44.742028Z,7,0.924404507202967
113,1,2,1,MNIST_EMNIST_rot,torch_linear,same_other_sizes_cv,EMNIST_rot,same,63000,7,1,63000,53,same,2026-03-03T15:21:53.582829Z,2026-03-03T20:39:26.384708Z,11,0.937934952421531
