task_id,algorithm,fold,classif.auc,classif.ce
aztrees3,cv_glmnet,1,0.992577560324697,0.016750418760469
aztrees3,cv_glmnet,2,0.978038474368954,0.0234505862646566
aztrees3,cv_glmnet,3,0.99307794951629,0.0117252931323283
aztrees3,cv_glmnet,4,0.978955854553542,0.016750418760469
aztrees3,cv_glmnet,5,0.957831996434938,0.052013422818792
aztrees3,cv_glmnet,6,0.980721393034826,0.026890756302521
aztrees3,cv_glmnet,7,0.972156264133876,0.0403361344537815
aztrees3,cv_glmnet,8,0.9760289461782,0.0336134453781513
aztrees3,cv_glmnet,9,0.966269223144241,0.0454545454545455
aztrees3,cv_glmnet,10,0.980104651831407,0.0505902192242833
aztrees4,cv_glmnet,1,0.985238623751387,0.020066889632107
aztrees4,cv_glmnet,2,0.954189789123196,0.0735785953177258
aztrees4,cv_glmnet,3,0.951165371809101,0.0585284280936455
aztrees4,cv_glmnet,4,0.957327921716891,0.0586264656616415
aztrees4,cv_glmnet,5,0.984347147950089,0.0201342281879195
aztrees4,cv_glmnet,6,0.950220488466757,0.0436974789915966
aztrees4,cv_glmnet,7,0.981371551334238,0.0252100840336134
aztrees4,cv_glmnet,8,0.992579795519556,0.0202020202020202
aztrees4,cv_glmnet,9,0.986550139038647,0.0185497470489039
aztrees4,cv_glmnet,10,0.990407881092292,0.0202702702702703
CanadaFires_all,cv_glmnet,1,0.983790334797758,0.065843621399177
CanadaFires_all,cv_glmnet,2,0.986019299445331,0.0494845360824742
CanadaFires_all,cv_glmnet,3,0.985335460831244,0.0536082474226804
CanadaFires_all,cv_glmnet,4,0.984936554973027,0.0597938144329897
CanadaFires_all,cv_glmnet,5,0.990184049079755,0.0579710144927536
CanadaFires_all,cv_glmnet,6,0.981825153374233,0.0662525879917184
CanadaFires_all,cv_glmnet,7,0.985249148989365,0.045643153526971
CanadaFires_all,cv_glmnet,8,0.982044413386132,0.0625
CanadaFires_all,cv_glmnet,9,0.983983749365209,0.0563674321503132
CanadaFires_all,cv_glmnet,10,0.980272666901051,0.058455114822547
CanadaFires_downSampled,cv_glmnet,1,0.976159433786552,0.0866666666666667
CanadaFires_downSampled,cv_glmnet,2,0.974110635127584,0.0866666666666667
CanadaFires_downSampled,cv_glmnet,3,0.97820823244552,0.08
CanadaFires_downSampled,cv_glmnet,4,0.987148444775564,0.06
CanadaFires_downSampled,cv_glmnet,5,0.985875706214689,0.0805369127516778
CanadaFires_downSampled,cv_glmnet,6,0.977024482109228,0.0805369127516778
CanadaFires_downSampled,cv_glmnet,7,0.961770244821092,0.10738255033557
CanadaFires_downSampled,cv_glmnet,8,0.955743879472693,0.100671140939597
CanadaFires_downSampled,cv_glmnet,9,0.979310344827586,0.0878378378378378
CanadaFires_downSampled,cv_glmnet,10,0.97752808988764,0.0952380952380952
CIFAR10,cv_glmnet,1,,0.584166666666667
CIFAR10,cv_glmnet,2,,0.583166666666667
CIFAR10,cv_glmnet,3,,0.5905
CIFAR10,cv_glmnet,4,,0.585666666666667
CIFAR10,cv_glmnet,5,,0.593166666666667
CIFAR10,cv_glmnet,6,,0.589333333333333
CIFAR10,cv_glmnet,7,,0.592333333333333
CIFAR10,cv_glmnet,8,,0.579166666666667
CIFAR10,cv_glmnet,9,,0.579166666666667
CIFAR10,cv_glmnet,10,,0.591833333333333
EMNIST,cv_glmnet,1,,0.0577142857142857
EMNIST,cv_glmnet,2,,0.0682857142857143
EMNIST,cv_glmnet,3,,0.0684285714285714
EMNIST,cv_glmnet,4,,0.0615714285714286
EMNIST,cv_glmnet,5,,0.0598571428571429
EMNIST,cv_glmnet,6,,0.0674285714285714
EMNIST,cv_glmnet,7,,0.063
EMNIST,cv_glmnet,8,,0.0618571428571429
EMNIST,cv_glmnet,9,,0.0657142857142857
EMNIST,cv_glmnet,10,,0.0588571428571429
FashionMNIST,cv_glmnet,1,,0.144714285714286
FashionMNIST,cv_glmnet,2,,0.140857142857143
FashionMNIST,cv_glmnet,3,,0.146714285714286
FashionMNIST,cv_glmnet,4,,0.138
FashionMNIST,cv_glmnet,5,,0.147714285714286
FashionMNIST,cv_glmnet,6,,0.148571428571429
FashionMNIST,cv_glmnet,7,,0.149285714285714
FashionMNIST,cv_glmnet,8,,0.139
FashionMNIST,cv_glmnet,9,,0.152285714285714
FashionMNIST,cv_glmnet,10,,0.140142857142857
FishSonar_river,cv_glmnet,1,0.692237759826458,0.246399767028081
FishSonar_river,cv_glmnet,2,0.690809671359344,0.246362451478636
FishSonar_river,cv_glmnet,3,0.692053809935781,0.246250554914321
FishSonar_river,cv_glmnet,4,0.692950290902903,0.245533161679837
FishSonar_river,cv_glmnet,5,0.692286637341752,0.246254980928637
FishSonar_river,cv_glmnet,6,0.691408018506958,0.246440532295355
FishSonar_river,cv_glmnet,7,0.689608787619083,0.246355296850195
FishSonar_river,cv_glmnet,8,0.69032256203918,0.24625940697439
FishSonar_river,cv_glmnet,9,0.6911303391559,0.246110244945361
FishSonar_river,cv_glmnet,10,0.690080368140718,0.246327759862486
KMNIST,cv_glmnet,1,,0.190857142857143
KMNIST,cv_glmnet,2,,0.194142857142857
KMNIST,cv_glmnet,3,,0.192428571428571
KMNIST,cv_glmnet,4,,0.195285714285714
KMNIST,cv_glmnet,5,,0.194
KMNIST,cv_glmnet,6,,0.194142857142857
KMNIST,cv_glmnet,7,,0.194571428571429
KMNIST,cv_glmnet,8,,0.192428571428571
KMNIST,cv_glmnet,9,,0.195857142857143
KMNIST,cv_glmnet,10,,0.184
MNIST,cv_glmnet,1,,0.0805991440798859
MNIST,cv_glmnet,2,,0.0854859426287998
MNIST,cv_glmnet,3,,0.0858326192516424
MNIST,cv_glmnet,4,,0.0885587773175261
MNIST,cv_glmnet,5,,0.0838571428571429
MNIST,cv_glmnet,6,,0.0864532723635325
MNIST,cv_glmnet,7,,0.0855958845384396
MNIST,cv_glmnet,8,,0.0810231494712775
MNIST,cv_glmnet,9,,0.0813554475264512
MNIST,cv_glmnet,10,,0.0869565217391304
MNIST_EMNIST,cv_glmnet,4,,0.156274551817727
MNIST_EMNIST,cv_glmnet,6,,0.165654689620687
MNIST_EMNIST,cv_glmnet,7,,0.159522788969853
