seconds,task_id,learner_id,iteration
104,aztrees3,classif.xgboost,1
108,aztrees3,classif.xgboost,2
106,aztrees3,classif.xgboost,3
105,aztrees3,classif.xgboost,4
107,aztrees3,classif.xgboost,5
110,aztrees3,classif.xgboost,6
108,aztrees3,classif.xgboost,7
110,aztrees3,classif.xgboost,8
104,aztrees3,classif.xgboost,9
108,aztrees3,classif.xgboost,10
13,aztrees3,classif.nearest_neighbors,1
12,aztrees3,classif.nearest_neighbors,2
11,aztrees3,classif.nearest_neighbors,3
11,aztrees3,classif.nearest_neighbors,4
11,aztrees3,classif.nearest_neighbors,5
11,aztrees3,classif.nearest_neighbors,6
11,aztrees3,classif.nearest_neighbors,7
11,aztrees3,classif.nearest_neighbors,8
11,aztrees3,classif.nearest_neighbors,9
11,aztrees3,classif.nearest_neighbors,10
15,aztrees3,classif.cv_glmnet,1
14,aztrees3,classif.cv_glmnet,2
12,aztrees3,classif.cv_glmnet,3
9,aztrees3,classif.cv_glmnet,4
22,aztrees3,classif.cv_glmnet,5
25,aztrees3,classif.cv_glmnet,6
15,aztrees3,classif.cv_glmnet,7
11,aztrees3,classif.cv_glmnet,8
17,aztrees3,classif.cv_glmnet,9
8,aztrees3,classif.cv_glmnet,10
0,aztrees3,classif.rpart,1
0,aztrees3,classif.rpart,2
0,aztrees3,classif.rpart,3
0,aztrees3,classif.rpart,4
0,aztrees3,classif.rpart,5
0,aztrees3,classif.rpart,6
0,aztrees3,classif.rpart,7
0,aztrees3,classif.rpart,8
0,aztrees3,classif.rpart,9
0,aztrees3,classif.rpart,10
0,aztrees3,classif.featureless,1
0,aztrees3,classif.featureless,2
0,aztrees3,classif.featureless,3
0,aztrees3,classif.featureless,4
0,aztrees3,classif.featureless,5
0,aztrees3,classif.featureless,6
0,aztrees3,classif.featureless,7
0,aztrees3,classif.featureless,8
0,aztrees3,classif.featureless,9
0,aztrees3,classif.featureless,10
108,aztrees4,classif.xgboost,1
107,aztrees4,classif.xgboost,2
107,aztrees4,classif.xgboost,3
107,aztrees4,classif.xgboost,4
108,aztrees4,classif.xgboost,5
104,aztrees4,classif.xgboost,6
106,aztrees4,classif.xgboost,7
108,aztrees4,classif.xgboost,8
108,aztrees4,classif.xgboost,9
107,aztrees4,classif.xgboost,10
10,aztrees4,classif.nearest_neighbors,1
10,aztrees4,classif.nearest_neighbors,2
10,aztrees4,classif.nearest_neighbors,3
11,aztrees4,classif.nearest_neighbors,4
10,aztrees4,classif.nearest_neighbors,5
11,aztrees4,classif.nearest_neighbors,6
10,aztrees4,classif.nearest_neighbors,7
10,aztrees4,classif.nearest_neighbors,8
11,aztrees4,classif.nearest_neighbors,9
10,aztrees4,classif.nearest_neighbors,10
13,aztrees4,classif.cv_glmnet,1
10,aztrees4,classif.cv_glmnet,2
12,aztrees4,classif.cv_glmnet,3
20,aztrees4,classif.cv_glmnet,4
14,aztrees4,classif.cv_glmnet,5
16,aztrees4,classif.cv_glmnet,6
17,aztrees4,classif.cv_glmnet,7
14,aztrees4,classif.cv_glmnet,8
13,aztrees4,classif.cv_glmnet,9
13,aztrees4,classif.cv_glmnet,10
0,aztrees4,classif.rpart,1
0,aztrees4,classif.rpart,2
0,aztrees4,classif.rpart,3
0,aztrees4,classif.rpart,4
0,aztrees4,classif.rpart,5
0,aztrees4,classif.rpart,6
0,aztrees4,classif.rpart,7
0,aztrees4,classif.rpart,8
0,aztrees4,classif.rpart,9
0,aztrees4,classif.rpart,10
0,aztrees4,classif.featureless,1
0,aztrees4,classif.featureless,2
0,aztrees4,classif.featureless,3
0,aztrees4,classif.featureless,4
0,aztrees4,classif.featureless,5
0,aztrees4,classif.featureless,6
0,aztrees4,classif.featureless,7
0,aztrees4,classif.featureless,8
0,aztrees4,classif.featureless,9
0,aztrees4,classif.featureless,10
210,CanadaFires_all,classif.xgboost,1
210,CanadaFires_all,classif.xgboost,2
209,CanadaFires_all,classif.xgboost,3
210,CanadaFires_all,classif.xgboost,4
210,CanadaFires_all,classif.xgboost,5
209,CanadaFires_all,classif.xgboost,6
210,CanadaFires_all,classif.xgboost,7
208,CanadaFires_all,classif.xgboost,8
170,CanadaFires_all,classif.xgboost,9
170,CanadaFires_all,classif.xgboost,10
12,CanadaFires_all,classif.nearest_neighbors,1
13,CanadaFires_all,classif.nearest_neighbors,2
13,CanadaFires_all,classif.nearest_neighbors,3
13,CanadaFires_all,classif.nearest_neighbors,4
13,CanadaFires_all,classif.nearest_neighbors,5
13,CanadaFires_all,classif.nearest_neighbors,6
13,CanadaFires_all,classif.nearest_neighbors,7
13,CanadaFires_all,classif.nearest_neighbors,8
13,CanadaFires_all,classif.nearest_neighbors,9
13,CanadaFires_all,classif.nearest_neighbors,10
18,CanadaFires_all,classif.cv_glmnet,1
16,CanadaFires_all,classif.cv_glmnet,2
17,CanadaFires_all,classif.cv_glmnet,3
18,CanadaFires_all,classif.cv_glmnet,4
12,CanadaFires_all,classif.cv_glmnet,5
11,CanadaFires_all,classif.cv_glmnet,6
12,CanadaFires_all,classif.cv_glmnet,7
10,CanadaFires_all,classif.cv_glmnet,8
11,CanadaFires_all,classif.cv_glmnet,9
11,CanadaFires_all,classif.cv_glmnet,10
0,CanadaFires_all,classif.rpart,1
0,CanadaFires_all,classif.rpart,2
0,CanadaFires_all,classif.rpart,3
0,CanadaFires_all,classif.rpart,4
0,CanadaFires_all,classif.rpart,5
0,CanadaFires_all,classif.rpart,6
0,CanadaFires_all,classif.rpart,7
0,CanadaFires_all,classif.rpart,8
0,CanadaFires_all,classif.rpart,9
0,CanadaFires_all,classif.rpart,10
0,CanadaFires_all,classif.featureless,1
0,CanadaFires_all,classif.featureless,2
0,CanadaFires_all,classif.featureless,3
0,CanadaFires_all,classif.featureless,4
0,CanadaFires_all,classif.featureless,5
0,CanadaFires_all,classif.featureless,6
0,CanadaFires_all,classif.featureless,7
0,CanadaFires_all,classif.featureless,8
0,CanadaFires_all,classif.featureless,9
0,CanadaFires_all,classif.featureless,10
70,CanadaFires_downSampled,classif.xgboost,1
70,CanadaFires_downSampled,classif.xgboost,2
70,CanadaFires_downSampled,classif.xgboost,3
70,CanadaFires_downSampled,classif.xgboost,4
70,CanadaFires_downSampled,classif.xgboost,5
69,CanadaFires_downSampled,classif.xgboost,6
69,CanadaFires_downSampled,classif.xgboost,7
70,CanadaFires_downSampled,classif.xgboost,8
70,CanadaFires_downSampled,classif.xgboost,9
70,CanadaFires_downSampled,classif.xgboost,10
6,CanadaFires_downSampled,classif.nearest_neighbors,1
6,CanadaFires_downSampled,classif.nearest_neighbors,2
6,CanadaFires_downSampled,classif.nearest_neighbors,3
6,CanadaFires_downSampled,classif.nearest_neighbors,4
6,CanadaFires_downSampled,classif.nearest_neighbors,5
6,CanadaFires_downSampled,classif.nearest_neighbors,6
6,CanadaFires_downSampled,classif.nearest_neighbors,7
6,CanadaFires_downSampled,classif.nearest_neighbors,8
7,CanadaFires_downSampled,classif.nearest_neighbors,9
7,CanadaFires_downSampled,classif.nearest_neighbors,10
8,CanadaFires_downSampled,classif.cv_glmnet,1
5,CanadaFires_downSampled,classif.cv_glmnet,2
4,CanadaFires_downSampled,classif.cv_glmnet,3
5,CanadaFires_downSampled,classif.cv_glmnet,4
4,CanadaFires_downSampled,classif.cv_glmnet,5
5,CanadaFires_downSampled,classif.cv_glmnet,6
5,CanadaFires_downSampled,classif.cv_glmnet,7
5,CanadaFires_downSampled,classif.cv_glmnet,8
5,CanadaFires_downSampled,classif.cv_glmnet,9
5,CanadaFires_downSampled,classif.cv_glmnet,10
0,CanadaFires_downSampled,classif.rpart,1
0,CanadaFires_downSampled,classif.rpart,2
0,CanadaFires_downSampled,classif.rpart,3
0,CanadaFires_downSampled,classif.rpart,4
0,CanadaFires_downSampled,classif.rpart,5
0,CanadaFires_downSampled,classif.rpart,6
0,CanadaFires_downSampled,classif.rpart,7
0,CanadaFires_downSampled,classif.rpart,8
0,CanadaFires_downSampled,classif.rpart,9
0,CanadaFires_downSampled,classif.rpart,10
0,CanadaFires_downSampled,classif.featureless,1
0,CanadaFires_downSampled,classif.featureless,2
0,CanadaFires_downSampled,classif.featureless,3
0,CanadaFires_downSampled,classif.featureless,4
0,CanadaFires_downSampled,classif.featureless,5
0,CanadaFires_downSampled,classif.featureless,6
0,CanadaFires_downSampled,classif.featureless,7
0,CanadaFires_downSampled,classif.featureless,8
0,CanadaFires_downSampled,classif.featureless,9
0,CanadaFires_downSampled,classif.featureless,10
163166,CIFAR10,classif.nearest_neighbors,6
152248,CIFAR10,classif.nearest_neighbors,8
139024,CIFAR10,classif.nearest_neighbors,9
24229,CIFAR10,classif.cv_glmnet,1
23934,CIFAR10,classif.cv_glmnet,2
27854,CIFAR10,classif.cv_glmnet,3
22766,CIFAR10,classif.cv_glmnet,4
14010,CIFAR10,classif.cv_glmnet,5
14420,CIFAR10,classif.cv_glmnet,6
15759,CIFAR10,classif.cv_glmnet,7
15904,CIFAR10,classif.cv_glmnet,8
16096,CIFAR10,classif.cv_glmnet,9
13611,CIFAR10,classif.cv_glmnet,10
78,CIFAR10,classif.rpart,1
79,CIFAR10,classif.rpart,2
78,CIFAR10,classif.rpart,3
77,CIFAR10,classif.rpart,4
78,CIFAR10,classif.rpart,5
77,CIFAR10,classif.rpart,6
78,CIFAR10,classif.rpart,7
77,CIFAR10,classif.rpart,8
73,CIFAR10,classif.rpart,9
76,CIFAR10,classif.rpart,10
11,CIFAR10,classif.featureless,1
11,CIFAR10,classif.featureless,2
11,CIFAR10,classif.featureless,3
11,CIFAR10,classif.featureless,4
11,CIFAR10,classif.featureless,5
11,CIFAR10,classif.featureless,6
11,CIFAR10,classif.featureless,7
11,CIFAR10,classif.featureless,8
11,CIFAR10,classif.featureless,9
11,CIFAR10,classif.featureless,10
162737,EMNIST,classif.xgboost,1
162745,EMNIST,classif.xgboost,2
162562,EMNIST,classif.xgboost,3
163326,EMNIST,classif.xgboost,4
163002,EMNIST,classif.xgboost,5
163346,EMNIST,classif.xgboost,6
163409,EMNIST,classif.xgboost,7
163084,EMNIST,classif.xgboost,8
163089,EMNIST,classif.xgboost,9
163875,EMNIST,classif.xgboost,10
31488,EMNIST,classif.nearest_neighbors,1
31872,EMNIST,classif.nearest_neighbors,2
31973,EMNIST,classif.nearest_neighbors,3
32343,EMNIST,classif.nearest_neighbors,4
33325,EMNIST,classif.nearest_neighbors,5
33558,EMNIST,classif.nearest_neighbors,6
33254,EMNIST,classif.nearest_neighbors,7
32429,EMNIST,classif.nearest_neighbors,8
33185,EMNIST,classif.nearest_neighbors,9
31561,EMNIST,classif.nearest_neighbors,10
16418,EMNIST,classif.cv_glmnet,1
5130,EMNIST,classif.cv_glmnet,2
23938,EMNIST,classif.cv_glmnet,3
10933,EMNIST,classif.cv_glmnet,4
12155,EMNIST,classif.cv_glmnet,5
10716,EMNIST,classif.cv_glmnet,6
9299,EMNIST,classif.cv_glmnet,7
7833,EMNIST,classif.cv_glmnet,8
9803,EMNIST,classif.cv_glmnet,9
5127,EMNIST,classif.cv_glmnet,10
15,EMNIST,classif.rpart,1
15,EMNIST,classif.rpart,2
15,EMNIST,classif.rpart,3
15,EMNIST,classif.rpart,4
17,EMNIST,classif.rpart,5
15,EMNIST,classif.rpart,6
15,EMNIST,classif.rpart,7
15,EMNIST,classif.rpart,8
22,EMNIST,classif.rpart,9
14,EMNIST,classif.rpart,10
4,EMNIST,classif.featureless,1
4,EMNIST,classif.featureless,2
6,EMNIST,classif.featureless,3
4,EMNIST,classif.featureless,4
4,EMNIST,classif.featureless,5
4,EMNIST,classif.featureless,6
4,EMNIST,classif.featureless,7
