train.groups,test.fold,test.group,region3,iteration,uhash,nr,task_id,learner_id,resampling_id,classif.auc,classif.ce,algorithm,percent.error,data.name
all,1,NE,NE,1,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.961456671982988,0.0408163265306122,cv_glmnet,4.08163265306122,aztrees3
all,1,NW,NW,2,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.977924944812363,0.0127388535031847,cv_glmnet,1.27388535031847,aztrees3
all,1,S,S,3,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.988244514106583,0.0409556313993174,cv_glmnet,4.09556313993174,aztrees3
all,2,NE,NE,4,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.968102073365231,0.0884353741496599,cv_glmnet,8.84353741496599,aztrees3
all,2,NW,NW,5,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.96467991169978,0.0191082802547771,cv_glmnet,1.91082802547771,aztrees3
all,2,S,S,6,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.975182863113898,0.0511945392491468,cv_glmnet,5.11945392491468,aztrees3
all,3,NE,NE,7,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.951355661881978,0.136054421768708,cv_glmnet,13.6054421768708,aztrees3
all,3,NW,NW,8,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.971302428256072,0.0191082802547771,cv_glmnet,1.91082802547771,aztrees3
all,3,S,S,9,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.988636363636363,0.0238907849829352,cv_glmnet,2.38907849829352,aztrees3
all,4,NE,NE,10,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.90802764486975,0.149659863945578,cv_glmnet,14.9659863945578,aztrees3
all,4,NW,NW,11,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.984547461368654,0.0318471337579618,cv_glmnet,3.18471337579618,aztrees3
all,4,S,S,12,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.990073145245559,0.0477815699658703,cv_glmnet,4.77815699658703,aztrees3
all,5,NE,NE,13,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.974255832662912,0.0684931506849315,cv_glmnet,6.84931506849315,aztrees3
all,5,NW,NW,14,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.991169977924945,0.00636942675159236,cv_glmnet,0.636942675159236,aztrees3
all,5,S,S,15,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.99542842215256,0.0307167235494881,cv_glmnet,3.07167235494881,aztrees3
all,6,NE,NE,16,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.969428801287208,0.0136986301369863,cv_glmnet,1.36986301369863,aztrees3
all,6,NW,NW,17,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0,cv_glmnet,0,aztrees3
all,6,S,S,18,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.995036572622779,0.0273037542662116,cv_glmnet,2.73037542662116,aztrees3
all,7,NE,NE,19,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.972110485384822,0.0410958904109589,cv_glmnet,4.10958904109589,aztrees3
all,7,NW,NW,20,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.974834437086093,0.00641025641025641,cv_glmnet,0.641025641025641,aztrees3
all,7,S,S,21,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.991640543364681,0.0307167235494881,cv_glmnet,3.07167235494881,aztrees3
all,8,NE,NE,22,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.926521855725396,0.164383561643836,cv_glmnet,16.4383561643836,aztrees3
all,8,NW,NW,23,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.916556291390728,0.0192307692307692,cv_glmnet,1.92307692307692,aztrees3
all,8,S,S,24,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.983542319749217,0.0409556313993174,cv_glmnet,4.09556313993174,aztrees3
all,9,NE,NE,25,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.95575221238938,0.10958904109589,cv_glmnet,10.958904109589,aztrees3
all,9,NW,NW,26,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.909333333333333,0.0129032258064516,cv_glmnet,1.29032258064516,aztrees3
all,9,S,S,27,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.979754440961337,0.0409556313993174,cv_glmnet,4.09556313993174,aztrees3
all,10,NE,NE,28,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.989541432019308,0.0273972602739726,cv_glmnet,2.73972602739726,aztrees3
all,10,NW,NW,29,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.990666666666667,0.00645161290322581,cv_glmnet,0.645161290322581,aztrees3
all,10,S,S,30,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.99715909090909,0.0171232876712329,cv_glmnet,1.71232876712329,aztrees3
