started,done,repl,algorithm,task_id
2024-03-08T05:20:54.834200Z,2024-03-08T05:29:56.494800Z,1,cv_glmnet,CIFAR10
2024-03-08T05:20:59.618100Z,2024-03-08T06:17:01.484300Z,2,cv_glmnet,CIFAR10
2024-03-08T05:20:59.613600Z,2024-03-08T08:21:35.989100Z,3,cv_glmnet,CIFAR10
2024-03-08T05:20:59.620700Z,2024-03-08T11:26:21.694500Z,4,cv_glmnet,CIFAR10
2024-03-08T05:20:54.768400Z,2024-03-08T12:15:46.618500Z,5,cv_glmnet,CIFAR10
2024-03-08T05:20:59.666100Z,2024-03-08T05:29:47.828700Z,6,cv_glmnet,CIFAR10
2024-03-08T05:20:59.600900Z,2024-03-08T06:16:42.268Z,7,cv_glmnet,CIFAR10
2024-03-08T05:20:59.558900Z,2024-03-08T08:13:02.852800Z,8,cv_glmnet,CIFAR10
2024-03-08T05:20:59.667Z,2024-03-08T11:24:06.532800Z,9,cv_glmnet,CIFAR10
2024-03-08T05:20:59.617700Z,2024-03-08T11:44:40.101300Z,10,cv_glmnet,CIFAR10
2024-03-08T05:20:54.575900Z,2024-03-08T05:28:06.070500Z,11,cv_glmnet,CIFAR10
2024-03-08T05:20:59.671Z,2024-03-08T06:24:41.703200Z,12,cv_glmnet,CIFAR10
2024-03-08T05:20:59.535600Z,2024-03-08T07:42:51.230600Z,13,cv_glmnet,CIFAR10
2024-03-08T05:20:59.535600Z,2024-03-08T09:13:42.666900Z,14,cv_glmnet,CIFAR10
2024-03-08T05:20:59.535600Z,2024-03-08T09:44:30.519600Z,15,cv_glmnet,CIFAR10
2024-03-08T05:20:59.312300Z,2024-03-08T05:31:35.688300Z,16,cv_glmnet,CIFAR10
2024-03-08T05:20:59.312300Z,2024-03-08T06:13:19.780700Z,17,cv_glmnet,CIFAR10
2024-03-08T05:20:59.312300Z,2024-03-08T07:50:40.282600Z,18,cv_glmnet,CIFAR10
2024-03-08T05:20:59.536500Z,2024-03-08T09:27:36.949700Z,19,cv_glmnet,CIFAR10
2024-03-08T05:20:59.536500Z,2024-03-08T09:52:54.007300Z,20,cv_glmnet,CIFAR10
2024-03-08T05:20:59.536500Z,2024-03-08T05:32:14.664300Z,21,cv_glmnet,CIFAR10
2024-03-08T05:20:59.535400Z,2024-03-08T06:14:42.811600Z,22,cv_glmnet,CIFAR10
2024-03-08T05:20:59.535400Z,2024-03-08T07:49:12.055500Z,23,cv_glmnet,CIFAR10
2024-03-08T05:20:59.535400Z,2024-03-08T09:06:10.725600Z,24,cv_glmnet,CIFAR10
2024-03-08T05:21:57.185900Z,2024-03-08T09:55:37.536300Z,25,cv_glmnet,CIFAR10
2024-03-08T05:21:57.186Z,2024-03-08T05:31:40.440100Z,26,cv_glmnet,CIFAR10
2024-03-08T05:21:57.185900Z,2024-03-08T06:17:41.787500Z,27,cv_glmnet,CIFAR10
2024-03-08T05:21:57.184900Z,2024-03-08T07:54:39.092900Z,28,cv_glmnet,CIFAR10
2024-03-08T05:21:57.184900Z,2024-03-08T09:25:45.223400Z,29,cv_glmnet,CIFAR10
2024-03-08T05:21:57.184900Z,2024-03-08T09:45:56.420700Z,30,cv_glmnet,CIFAR10
2024-03-08T05:21:57.185300Z,2024-03-08T05:32:18.721200Z,31,cv_glmnet,CIFAR10
2024-03-08T05:21:57.185300Z,2024-03-08T06:14:53.366600Z,32,cv_glmnet,CIFAR10
2024-03-08T05:21:57.185300Z,2024-03-08T07:54:55.441100Z,33,cv_glmnet,CIFAR10
2024-03-08T05:21:57.187Z,2024-03-08T09:08:33.621400Z,34,cv_glmnet,CIFAR10
2024-03-08T05:21:57.187Z,2024-03-08T09:41:42.389400Z,35,cv_glmnet,CIFAR10
2024-03-08T05:21:57.187Z,2024-03-08T05:31:30.142100Z,36,cv_glmnet,CIFAR10
2024-03-08T05:21:57.186500Z,2024-03-08T06:14:40.383900Z,37,cv_glmnet,CIFAR10
2024-03-08T05:21:57.186500Z,2024-03-08T07:46:19.392200Z,38,cv_glmnet,CIFAR10
2024-03-08T05:21:57.186500Z,2024-03-08T09:10:12.158900Z,39,cv_glmnet,CIFAR10
2024-03-08T05:21:57.186100Z,2024-03-08T09:51:49.227Z,40,cv_glmnet,CIFAR10
2024-03-08T05:21:57.186200Z,2024-03-08T05:31:59.085900Z,41,cv_glmnet,CIFAR10
2024-03-08T05:21:57.186100Z,2024-03-08T06:14:37.565700Z,42,cv_glmnet,CIFAR10
2024-03-08T05:21:57.184500Z,2024-03-08T07:49:06.159700Z,43,cv_glmnet,CIFAR10
2024-03-08T05:21:57.184500Z,2024-03-08T09:17:01.098300Z,44,cv_glmnet,CIFAR10
2024-03-08T05:21:57.184500Z,2024-03-08T09:50:47.114200Z,45,cv_glmnet,CIFAR10
2024-03-08T05:21:57.185900Z,2024-03-08T05:31:41.208100Z,46,cv_glmnet,CIFAR10
2024-03-08T05:21:57.185900Z,2024-03-08T06:13:52.750400Z,47,cv_glmnet,CIFAR10
2024-03-08T05:21:57.185900Z,2024-03-08T07:47:07.492900Z,48,cv_glmnet,CIFAR10
2024-03-08T05:22:53.472200Z,2024-03-08T09:19:38.873600Z,49,cv_glmnet,CIFAR10
2024-03-08T05:22:53.472200Z,2024-03-08T09:44:22.108300Z,50,cv_glmnet,CIFAR10
2024-03-08T05:22:53.472300Z,2024-03-08T05:33:44.517900Z,51,cv_glmnet,CIFAR10
2024-03-08T05:22:53.474600Z,2024-03-08T06:16:02.313600Z,52,cv_glmnet,CIFAR10
2024-03-08T05:22:53.474600Z,2024-03-08T07:45:24.366900Z,53,cv_glmnet,CIFAR10
2024-03-08T05:22:53.474600Z,2024-03-08T09:08:18.704400Z,54,cv_glmnet,CIFAR10
2024-03-08T05:22:53.471Z,2024-03-08T09:41:08.574700Z,55,cv_glmnet,CIFAR10
2024-03-08T05:22:53.470900Z,2024-03-08T05:33:03.016600Z,56,cv_glmnet,CIFAR10
2024-03-08T05:22:53.470900Z,2024-03-08T06:15:41.909700Z,57,cv_glmnet,CIFAR10
2024-03-08T05:22:53.472Z,2024-03-08T07:47:47.478900Z,58,cv_glmnet,CIFAR10
2024-03-08T05:22:53.471200Z,2024-03-08T09:13:32.188Z,59,cv_glmnet,CIFAR10
2024-03-08T05:22:53.471200Z,2024-03-08T09:44:40.409800Z,60,cv_glmnet,CIFAR10
2024-03-08T05:22:57.526200Z,2024-03-08T05:32:44.971600Z,61,cv_glmnet,CIFAR10
2024-03-08T05:22:57.526300Z,2024-03-08T06:16:25.129600Z,62,cv_glmnet,CIFAR10
2024-03-08T05:22:57.526200Z,2024-03-08T07:43:02.994700Z,63,cv_glmnet,CIFAR10
2024-03-08T05:22:53.408200Z,2024-03-08T09:20:17.441500Z,64,cv_glmnet,CIFAR10
2024-03-08T05:22:53.408100Z,2024-03-08T09:54:34.027700Z,65,cv_glmnet,CIFAR10
2024-03-08T05:22:53.447700Z,2024-03-08T05:31:18.348200Z,66,cv_glmnet,CIFAR10
2024-03-08T05:22:53.447800Z,2024-03-08T06:14:05.855300Z,67,cv_glmnet,CIFAR10
2024-03-08T05:22:53.451400Z,2024-03-08T07:53:29.283300Z,68,cv_glmnet,CIFAR10
2024-03-08T05:22:53.451300Z,2024-03-08T09:31:25.812900Z,69,cv_glmnet,CIFAR10
2024-03-08T05:22:53.446700Z,2024-03-08T09:56:43.844600Z,70,cv_glmnet,CIFAR10
2024-03-08T05:22:53.446600Z,2024-03-08T05:31:22.708700Z,71,cv_glmnet,CIFAR10
2024-03-08T05:22:53.198400Z,2024-03-08T06:12:30.421100Z,72,cv_glmnet,CIFAR10
2024-03-08T05:23:50.402800Z,2024-03-08T07:54:34.865400Z,73,cv_glmnet,CIFAR10
2024-03-08T05:23:51.826900Z,2024-03-08T09:32:45.200800Z,74,cv_glmnet,CIFAR10
2024-03-08T05:23:51.826800Z,2024-03-08T10:02:44.595100Z,75,cv_glmnet,CIFAR10
2024-03-08T05:23:51.810300Z,2024-03-08T05:33:06.071300Z,76,cv_glmnet,CIFAR10
2024-03-08T05:23:51.810300Z,2024-03-08T06:14:25.868Z,77,cv_glmnet,CIFAR10
2024-03-08T05:23:50.655900Z,2024-03-08T08:08:04.999600Z,78,cv_glmnet,CIFAR10
2024-03-08T05:23:50.655900Z,2024-03-08T09:35:32.574200Z,79,cv_glmnet,CIFAR10
2024-03-08T05:23:51.809700Z,2024-03-08T09:51:04.481Z,80,cv_glmnet,CIFAR10
2024-03-08T05:23:51.809200Z,2024-03-08T05:31:48.155500Z,81,cv_glmnet,CIFAR10
2024-03-08T05:23:51.810700Z,2024-03-08T06:15:46.378900Z,82,cv_glmnet,CIFAR10
2024-03-08T05:23:51.810800Z,2024-03-08T07:57:55.189900Z,83,cv_glmnet,CIFAR10
2024-03-08T05:23:51.827Z,2024-03-08T09:36:28.400700Z,84,cv_glmnet,CIFAR10
2024-03-08T05:23:51.827Z,2024-03-08T10:04:20.898Z,85,cv_glmnet,CIFAR10
2024-03-08T05:23:50.857Z,2024-03-08T05:33:28.564500Z,86,cv_glmnet,CIFAR10
2024-03-08T05:23:50.857100Z,2024-03-08T06:18:41.999800Z,87,cv_glmnet,CIFAR10
2024-03-08T05:23:51.826900Z,2024-03-08T07:56:05.446200Z,88,cv_glmnet,CIFAR10
2024-03-08T05:23:51.827Z,2024-03-08T09:23:14.805400Z,89,cv_glmnet,CIFAR10
2024-03-08T05:23:51.808600Z,2024-03-08T10:11:36.092500Z,90,cv_glmnet,CIFAR10
2024-03-08T05:23:51.808600Z,2024-03-08T05:33:26.204Z,91,cv_glmnet,CIFAR10
2024-03-08T05:23:51.827100Z,2024-03-08T06:15:17.041900Z,92,cv_glmnet,CIFAR10
2024-03-08T05:23:51.827200Z,2024-03-08T07:57:46.049Z,93,cv_glmnet,CIFAR10
